"Medal_Type","Medal_Date","Full_Name","Sports","Event","Country","Code","Gender","Height","Weight","Birth_Date"
"Silver Medal",2024-08-10,"Marco AROP","Athletics","Men's 800m","Canada",1974048,"Male",193,0,1998-09-20
"Bronze Medal",2024-08-10,"Djamel SEDJATI","Athletics","Men's 800m","Algeria",1963520,"Male",177,0,1999-05-03
"Gold Medal",2024-08-10,"Hamish KERR","Athletics","Men's High Jump","New Zealand",1926713,"Male",198,0,1996-08-17
"Silver Medal",2024-08-10,"Shelby McEWEN","Athletics","Men's High Jump","United States",1965306,"Male",187,0,1996-04-06
"Bronze Medal",2024-08-10,"Mutaz Essa BARSHIM","Athletics","Men's High Jump","Qatar",1566681,"Male",189,0,1991-06-24
"Gold Medal",2024-08-10,"Tamirat TOLA","Athletics","Men's Marathon","Ethiopia",1901284,"Male",180,0,1991-08-11
"Silver Medal",2024-08-10,"Bashir ABDI","Athletics","Men's Marathon","Belgium",1942753,"Male",170,0,1989-02-10
"Bronze Medal",2024-08-10,"Benson KIPRUTO","Athletics","Men's Marathon","Kenya",1910555,"Male",173,0,1991-03-17
"Gold Medal",2024-08-10,"Masai RUSSELL","Athletics","Women's 100m Hurdles","United States",1960169,"Female",162,0,2000-06-17
"Silver Medal",2024-08-10,"Cyrena SAMBA-MAYELA","Athletics","Women's 100m Hurdles","France",1911932,"Female",166,0,2000-10-31
"Gold Medal",2024-08-10,"Faith KIPYEGON","Athletics","Women's 1500m","Kenya",1910451,"Female",152,0,1994-01-10
"Silver Medal",2024-08-10,"Jessica HULL","Athletics","Women's 1500m","Australia",1939795,"Female",165,0,1996-10-22
"Bronze Medal",2024-08-10,"Georgia BELL","Athletics","Women's 1500m","Great Britain",1956840,"Female",165,0,1993-10-17
"Gold Medal",2024-08-10,"KITAGUCHI Haruka","Athletics","Women's Javelin Throw","Japan",1919914,"Female",176,0,1998-03-16
"Silver Medal",2024-08-10,"Jo-Ane van DYK","Athletics","Women's Javelin Throw","South Africa",1981085,"Female",171,0,1997-10-03
"Bronze Medal",2024-08-10,"Nikola OGRODNIKOVA","Athletics","Women's Javelin Throw","Czechia",1892137,"Female",171,0,1990-08-18
"Gold Medal",2024-08-10,"Bakhodir JALOLOV","Boxing","Men's +92kg","Uzbekistan",1556869,"Male",201,0,1994-07-08
"Silver Medal",2024-08-10,"Ayoub GHADFA DRISSI EL AISSAOUI","Boxing","Men's +92kg","Spain",1934775,"Male",198,0,1998-12-06
"Gold Medal",2024-08-10,"Abdumalik KHALOKOV","Boxing","Men's 57kg","Uzbekistan",1556049,"Male",174,0,2000-04-09
"Silver Medal",2024-08-10,"Munarbek SEIITBEK UULU","Boxing","Men's 57kg","Kyrgyzstan",1878687,"Male",175,0,1996-01-01
"Gold Medal",2024-08-10,"LIN Yu Ting","Boxing","Women's 57kg","Chinese Taipei",1887963,"Female",175,0,1995-12-13
"Silver Medal",2024-08-10,"Julia SZEREMETA","Boxing","Women's 57kg","Poland",1568655,"Female",165,0,2003-08-24
"Gold Medal",2024-08-10,"LI Qian","Boxing","Women's 75kg","China",1926826,"Female",178,0,1990-06-06
"Silver Medal",2024-08-10,"Atheyna Bibeichi BYLON","Boxing","Women's 75kg","Panama",1965679,"Female",179,0,1989-04-06
"Gold Medal",2024-08-10,"PHIL WIZARD","Breaking","B-Boys","Canada",1958888,"Male",0,0,1997-01-25
"Silver Medal",2024-08-10,"DANY DANN","Breaking","B-Boys","France",1880191,"Male",0,0,1988-05-03
"Bronze Medal",2024-08-10,"VICTOR","Breaking","B-Boys","United States",1955590,"Male",0,0,1994-05-01
"Gold Medal",2024-08-10,"Josef DOSTAL","Canoe Sprint","Men's Kayak Single 1000m","Czechia",1878715,"Male",0,0,1993-03-03
"Silver Medal",2024-08-10,"Adam VARGA","Canoe Sprint","Men's Kayak Single 1000m","Hungary",1570863,"Male",0,0,1999-11-20
"Bronze Medal",2024-08-10,"Balint KOPASZ","Canoe Sprint","Men's Kayak Single 1000m","Hungary",1569972,"Male",0,0,1997-06-20
"Gold Medal",2024-08-10,"Katie VINCENT","Canoe Sprint","Women's Canoe Single 200m","Canada",1964547,"Female",0,0,1996-03-12
"Silver Medal",2024-08-10,"Nevin HARRISON","Canoe Sprint","Women's Canoe Single 200m","United States",1955126,"Female",0,0,2002-06-02
"Bronze Medal",2024-08-10,"Yarisleidis CIRILO DUBOYS","Canoe Sprint","Women's Canoe Single 200m","Cuba",1564506,"Female",0,0,2002-05-10
"Gold Medal",2024-08-10,"Lisa CARRINGTON","Canoe Sprint","Women's Kayak Single 500m","New Zealand",1945383,"Female",0,0,1989-06-23
"Silver Medal",2024-08-10,"Tamara CSIPES","Canoe Sprint","Women's Kayak Single 500m","Hungary",1568350,"Female",0,0,1989-08-24
"Bronze Medal",2024-08-10,"Emma Aastrand JORGENSEN","Canoe Sprint","Women's Kayak Single 500m","Denmark",1892423,"Female",0,0,1996-01-30
"Gold Medal",2024-08-10,"CAO Yuan","Diving","Men's 10m Platform","China",1901556,"Male",0,0,1995-02-07
"Silver Medal",2024-08-10,"TAMAI Rikuto","Diving","Men's 10m Platform","Japan",1891685,"Male",0,0,2006-09-11
"Bronze Medal",2024-08-10,"Noah WILLIAMS","Diving","Men's 10m Platform","Great Britain",1900857,"Male",0,0,2000-05-15
"Gold Medal",2024-08-10,"Lydia KO","Golf","Women's Individual Stroke Play","New Zealand",1939553,"Female",165,0,1997-04-24
"Silver Medal",2024-08-10,"Esther HENSELEIT","Golf","Women's Individual Stroke Play","Germany",1892506,"Female",181,0,1999-01-14
"Bronze Medal",2024-08-10,"LIN Xiyu Janet","Golf","Women's Individual Stroke Play","China",1913218,"Female",171,0,1996-02-25
"Gold Medal",2024-08-10,"Ahmed ELGENDY","Modern Pentathlon","Men's Individual","Egypt",1932649,"Male",0,0,2000-03-01
"Silver Medal",2024-08-10,"SATO Taishu","Modern Pentathlon","Men's Individual","Japan",1887939,"Male",0,0,1993-10-20
"Bronze Medal",2024-08-10,"Giorgio MALAN","Modern Pentathlon","Men's Individual","Italy",1553031,"Male",0,0,2000-01-27
"Gold Medal",2024-08-10,"Janja GARNBRET","Sport Climbing","Women's Boulder & Lead","Slovenia",1981131,"Female",164,0,1999-03-12
"Silver Medal",2024-08-10,"Brooke RABOUTOU","Sport Climbing","Women's Boulder & Lead","United States",1950307,"Female",157,0,2001-04-09
"Bronze Medal",2024-08-10,"Jessica PILZ","Sport Climbing","Women's Boulder & Lead","Austria",1560673,"Female",165,0,1996-11-22
"Gold Medal",2024-08-10,"Arian SALIMI","Taekwondo","Men +80kg","IR Iran",1536045,"Male",0,0,2003-12-16
"Silver Medal",2024-08-10,"Caden CUNNINGHAM","Taekwondo","Men +80kg","Great Britain",1896149,"Male",0,0,2003-05-07
"Bronze Medal",2024-08-10,"Rafael ALBA","Taekwondo","Men +80kg","Cuba",1897088,"Male",0,0,1993-08-12
"Bronze Medal",2024-08-10,"Cheick Sallah CISSE","Taekwondo","Men +80kg","Côte d'Ivoire",1548401,"Male",0,0,1993-09-19
"Gold Medal",2024-08-10,"Althea LAURIN","Taekwondo","Women +67kg","France",1893272,"Female",0,0,2001-09-01
"Silver Medal",2024-08-10,"Svetlana OSIPOVA","Taekwondo","Women +67kg","Uzbekistan",1887768,"Female",0,0,2000-05-03
"Bronze Medal",2024-08-10,"LEE Dabin","Taekwondo","Women +67kg","Korea",1904039,"Female",0,0,1996-12-07
"Bronze Medal",2024-08-10,"Nafia KUS AYDIN","Taekwondo","Women +67kg","Türkiye",1566738,"Female",0,0,1995-02-20
"Gold Medal",2024-08-10,"Lasha TALAKHADZE","Weightlifting","Men's +102kg","Georgia",1551443,"Male",0,0,1993-10-02
"Silver Medal",2024-08-10,"Varazdat LALAYAN","Weightlifting","Men's +102kg","Armenia",1544424,"Male",0,0,1999-05-01
"Bronze Medal",2024-08-10,"Gor MINASYAN","Weightlifting","Men's +102kg","Bahrain",1540334,"Male",0,0,1994-10-25
"Gold Medal",2024-08-10,"LIU Huanhua","Weightlifting","Men's 102kg","China",1918369,"Male",0,0,2001-08-20
"Silver Medal",2024-08-10,"Akbar DJURAEV","Weightlifting","Men's 102kg","Uzbekistan",1551307,"Male",0,0,1999-10-08
"Gold Medal",2024-08-10,"Solfrid Eila Amena KOANDA","Weightlifting","Women's 81kg","Norway",1878625,"Female",0,0,1998-11-13
"Silver Medal",2024-08-10,"Sara AHMED","Weightlifting","Women's 81kg","Egypt",1563010,"Female",0,0,1998-01-01
"Bronze Medal",2024-08-10,"Neisi Patricia DAJOMES BARRERA","Weightlifting","Women's 81kg","Ecuador",1940308,"Female",0,0,1998-05-12
"Gold Medal",2024-08-10,"Geno PETRIASHVILI","Wrestling","Men's Freestyle 125kg","Georgia",1554885,"Male",0,0,1994-04-01
"Silver Medal",2024-08-10,"Amir Hossein ZARE","Wrestling","Men's Freestyle 125kg","IR Iran",1543088,"Male",0,0,2001-01-16
"Bronze Medal",2024-08-10,"Taha AKGUL","Wrestling","Men's Freestyle 125kg","Türkiye",1570546,"Male",0,0,1990-11-22
"Bronze Medal",2024-08-10,"Giorgi MESHVILDISHVILI","Wrestling","Men's Freestyle 125kg","Azerbaijan",1947172,"Male",0,0,1992-05-13
"Gold Medal",2024-08-10,"Razambek Salambekovitch JAMALOV","Wrestling","Men's Freestyle 74kg","Uzbekistan",1562164,"Male",0,0,1998-06-01
"Silver Medal",2024-08-10,"TAKATANI Daichi","Wrestling","Men's Freestyle 74kg","Japan",1939708,"Male",0,0,1994-11-22
"Bronze Medal",2024-08-10,"Kyle Douglas DAKE","Wrestling","Men's Freestyle 74kg","United States",1955345,"Male",0,0,1991-02-25
"Bronze Medal",2024-08-10,"Chermen VALIEV","Wrestling","Men's Freestyle 74kg","Albania",3429662,"Male",0,0,1998-12-10
"Gold Medal",2024-08-10,"MOTOKI Sakura","Wrestling","Women's Freestyle 62kg","Japan",1939702,"Female",0,0,2002-02-20
"Silver Medal",2024-08-10,"Iryna KOLIADENKO","Wrestling","Women's Freestyle 62kg","Ukraine",1897022,"Female",0,0,1998-08-28
"Bronze Medal",2024-08-10,"Aisuluu TYNYBEKOVA","Wrestling","Women's Freestyle 62kg","Kyrgyzstan",1902786,"Female",0,0,1993-05-04
"Bronze Medal",2024-08-10,"Grace Jacob BULLEN","Wrestling","Women's Freestyle 62kg","Norway",1878635,"Female",0,0,1997-02-07
"Gold Medal",2024-08-11,"Sifan HASSAN","Athletics","Women's Marathon","Netherlands",1972105,"Female",170,0,1993-01-01
"Silver Medal",2024-08-11,"Tigst ASSEFA","Athletics","Women's Marathon","Ethiopia",1901487,"Female",167,0,1996-12-03
"Bronze Medal",2024-08-11,"Hellen OBIRI","Athletics","Women's Marathon","Kenya",1932851,"Female",152,0,1989-12-13
"Gold Medal",2024-08-11,"Harrie LAVREYSEN","Cycling Track","Men's Keirin","Netherlands",1969182,"Male",0,0,1997-03-14
"Silver Medal",2024-08-11,"Matthew RICHARDSON","Cycling Track","Men's Keirin","Australia",1940263,"Male",0,0,1999-04-17
"Bronze Medal",2024-08-11,"Matthew GLAETZER","Cycling Track","Men's Keirin","Australia",1940262,"Male",0,0,1992-08-24
"Gold Medal",2024-08-11,"Jennifer VALENTE","Cycling Track","Women's Omnium","United States",1955106,"Female",0,0,1994-12-24
"Silver Medal",2024-08-11,"Daria PIKULIK","Cycling Track","Women's Omnium","Poland",1572953,"Female",0,0,1997-01-06
"Bronze Medal",2024-08-11,"Ally WOLLASTON","Cycling Track","Women's Omnium","New Zealand",1945080,"Female",0,0,2001-01-04
"Gold Medal",2024-08-11,"Ellesse ANDREWS","Cycling Track","Women's Sprint","New Zealand",1945040,"Female",0,0,1999-12-31
"Silver Medal",2024-08-11,"Lea FRIEDRICH","Cycling Track","Women's Sprint","Germany",1889704,"Female",0,0,2000-01-07
"Bronze Medal",2024-08-11,"Emma FINUCANE","Cycling Track","Women's Sprint","Great Britain",1912522,"Female",0,0,2002-12-22
"Gold Medal",2024-08-11,"Michelle GULYAS","Modern Pentathlon","Women's Individual","Hungary",1936619,"Female",0,0,2000-10-24
"Silver Medal",2024-08-11,"Elodie CLOUVEL","Modern Pentathlon","Women's Individual","France",1545116,"Female",0,0,1989-01-14
"Bronze Medal",2024-08-11,"SEONG Seungmin","Modern Pentathlon","Women's Individual","Korea",1786902,"Female",0,0,2003-05-13
"Gold Medal",2024-08-11,"LI Wenwen","Weightlifting","Women's +81kg","China",1918376,"Female",0,0,2000-03-05
"Silver Medal",2024-08-11,"PARK Hyejeong","Weightlifting","Women's +81kg","Korea",1894414,"Female",0,0,2003-03-12
"Bronze Medal",2024-08-11,"Emily CAMPBELL","Weightlifting","Women's +81kg","Great Britain",1544179,"Female",0,0,1994-05-06
"Gold Medal",2024-08-11,"KIYOOKA Kotaro","Wrestling","Men's Freestyle 65kg","Japan",1939700,"Male",0,0,2001-04-12
"Silver Medal",2024-08-11,"Rahman AMOUZADKHALILI","Wrestling","Men's Freestyle 65kg","IR Iran",1544830,"Male",0,0,2002-07-17
"Bronze Medal",2024-08-11,"Islam DUDAEV","Wrestling","Men's Freestyle 65kg","Albania",1559387,"Male",0,0,1995-01-15
"Gold Medal",2024-08-11,"Akhmed TAZHUDINOV","Wrestling","Men's Freestyle 97kg","Bahrain",1540305,"Male",0,0,2003-01-25
"Silver Medal",2024-08-11,"Givi MATCHARASHVILI","Wrestling","Men's Freestyle 97kg","Georgia",1552495,"Male",0,0,1997-05-17
"Bronze Medal",2024-08-11,"Magomedkhan MAGOMEDOV","Wrestling","Men's Freestyle 97kg","Azerbaijan",1981785,"Male",0,0,1998-01-27
"Bronze Medal",2024-08-11,"Amirali AZARPIRA","Wrestling","Men's Freestyle 97kg","IR Iran",1543095,"Male",0,0,2002-03-26
"Gold Medal",2024-08-11,"KAGAMI Yuka","Wrestling","Women's Freestyle 76kg","Japan",1939701,"Female",0,0,2001-09-14
"Silver Medal",2024-08-11,"Kennedy Alexis BLADES","Wrestling","Women's Freestyle 76kg","United States",1955344,"Female",0,0,2003-09-04
"Bronze Medal",2024-08-11,"Milaimy de la Carid. MARIN POTRILLE","Wrestling","Women's Freestyle 76kg","Cuba",1571936,"Female",0,0,2001-03-16
"Bronze Medal",2024-08-11,"Tatiana RENTERIA RENTERIA","Wrestling","Women's Freestyle 76kg","Colombia",1535513,"Female",0,0,2000-12-22
